epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.103,2.727,3.8758,3.3471,0.11074,0.17224,0.04791,0.01496,2.33175,3.48786,2.94853,0.000416223,0.000416223,0.000416223
2,910.476,1.95084,3.00669,2.38522,0.18449,0.29316,0.16989,0.07601,1.82762,2.95189,2.39442,0.000812276,0.000812276,0.000812276
3,1351.78,1.74352,2.71705,2.14549,0.21222,0.35682,0.20332,0.10404,1.61952,2.66966,2.14632,0.0011877,0.0011877,0.0011877
4,1791.28,1.62302,2.50904,2.00542,0.2741,0.39233,0.28978,0.15962,1.53404,2.23587,1.99938,0.00115719,0.00115719,0.00115719
5,2231.49,1.5291,2.32783,1.90662,0.44352,0.42382,0.39685,0.23899,1.33132,1.99953,1.82766,0.00112625,0.00112625,0.00112625
6,2668.51,1.449,2.15342,1.82822,0.48257,0.5082,0.47905,0.28984,1.23739,1.80684,1.72924,0.00109531,0.00109531,0.00109531
7,3105.86,1.37889,2.02881,1.76149,0.54347,0.57053,0.57978,0.36849,1.18718,1.64439,1.65105,0.00106437,0.00106437,0.00106437
8,3545.3,1.33801,1.95473,1.71842,0.63916,0.58109,0.64586,0.42878,1.08804,1.45332,1.5584,0.00103344,0.00103344,0.00103344
9,3984.79,1.30889,1.87405,1.68904,0.62526,0.61671,0.64937,0.43746,1.0704,1.40129,1.5342,0.0010025,0.0010025,0.0010025
10,4424.04,1.26662,1.78874,1.65284,0.69574,0.60942,0.691,0.4866,0.98903,1.29477,1.44865,0.000971562,0.000971562,0.000971562
11,4862.87,1.23285,1.71999,1.6191,0.7048,0.64288,0.72537,0.51525,0.95316,1.26468,1.42428,0.000940625,0.000940625,0.000940625
12,5301.8,1.20925,1.65789,1.59224,0.74594,0.68142,0.7502,0.5399,0.93592,1.14284,1.38517,0.000909688,0.000909688,0.000909688
13,5736.47,1.19329,1.62765,1.58199,0.73847,0.68205,0.75378,0.53474,0.9308,1.14782,1.39282,0.00087875,0.00087875,0.00087875
14,6174.08,1.17008,1.55367,1.55301,0.7396,0.68861,0.76295,0.56142,0.89229,1.08022,1.34792,0.000847813,0.000847813,0.000847813
15,6609.12,1.14657,1.51414,1.53222,0.77724,0.71541,0.80451,0.59908,0.85845,1.03009,1.30986,0.000816875,0.000816875,0.000816875
16,7046.83,1.1314,1.4745,1.5196,0.81087,0.7393,0.81506,0.60454,0.86144,0.96426,1.30948,0.000785938,0.000785938,0.000785938
17,7483.66,1.12269,1.45026,1.515,0.8189,0.73523,0.82388,0.61964,0.83748,0.94115,1.28837,0.000755,0.000755,0.000755
18,7920.46,1.10382,1.41054,1.49185,0.82691,0.75775,0.83469,0.63908,0.8022,0.89278,1.26153,0.000724062,0.000724062,0.000724062
19,8359.62,1.09212,1.36905,1.48352,0.8456,0.74147,0.84146,0.64307,0.79724,0.88136,1.24657,0.000693125,0.000693125,0.000693125
20,8798.61,1.08034,1.35582,1.4763,0.83514,0.74791,0.84533,0.65375,0.78992,0.87637,1.24569,0.000662188,0.000662188,0.000662188
21,9235.8,1.05914,1.31364,1.45509,0.84151,0.76819,0.85614,0.66268,0.77049,0.84042,1.22948,0.00063125,0.00063125,0.00063125
22,9673.14,1.04204,1.28727,1.44453,0.85314,0.76399,0.85699,0.67185,0.75503,0.81862,1.21545,0.000600313,0.000600313,0.000600313
23,10110.5,1.03848,1.26689,1.43749,0.84315,0.76734,0.86336,0.67793,0.74581,0.79943,1.20576,0.000569375,0.000569375,0.000569375
24,10547.5,1.02955,1.23953,1.42544,0.85215,0.7737,0.868,0.68291,0.73606,0.78485,1.19706,0.000538438,0.000538438,0.000538438
25,10984.1,1.01772,1.20955,1.41695,0.86522,0.7948,0.87365,0.6922,0.72772,0.75789,1.18888,0.0005075,0.0005075,0.0005075
26,11423.5,0.99828,1.18726,1.40609,0.87665,0.78763,0.87788,0.69813,0.71501,0.74355,1.17746,0.000476562,0.000476562,0.000476562
27,11861.5,1.00098,1.17673,1.40304,0.84516,0.80468,0.87837,0.70319,0.70851,0.733,1.17016,0.000445625,0.000445625,0.000445625
28,12300.6,0.97966,1.14173,1.38812,0.86745,0.80888,0.88622,0.7085,0.70957,0.7157,1.17398,0.000414688,0.000414688,0.000414688
29,12738.1,0.97693,1.13505,1.38752,0.88284,0.78961,0.88594,0.71169,0.70386,0.70557,1.16548,0.00038375,0.00038375,0.00038375
30,13177.7,0.96619,1.10745,1.37487,0.87123,0.80141,0.88596,0.71499,0.69395,0.69777,1.15282,0.000352812,0.000352812,0.000352812
31,13616.4,0.86313,0.92185,1.33869,0.86794,0.82082,0.89244,0.72283,0.68701,0.67122,1.1505,0.000321875,0.000321875,0.000321875
32,14052.1,0.83368,0.87789,1.31429,0.87504,0.82816,0.9001,0.7311,0.67771,0.65116,1.13987,0.000290937,0.000290937,0.000290937
33,14486.7,0.82049,0.85027,1.29858,0.87552,0.82855,0.89906,0.73044,0.6753,0.64529,1.14128,0.00026,0.00026,0.00026
34,14922.6,0.80772,0.82989,1.29039,0.88151,0.83124,0.89976,0.73308,0.66791,0.63792,1.13567,0.000229063,0.000229063,0.000229063
35,15360,0.79229,0.80625,1.27482,0.88347,0.84673,0.90125,0.73711,0.66708,0.63417,1.1312,0.000198125,0.000198125,0.000198125
36,15797.7,0.78946,0.79708,1.27865,0.87487,0.84387,0.90231,0.7385,0.66313,0.62609,1.12949,0.000167188,0.000167188,0.000167188
37,16234.4,0.77325,0.76881,1.26581,0.87518,0.84465,0.90296,0.74036,0.6608,0.62132,1.12541,0.00013625,0.00013625,0.00013625
38,16670.6,0.76827,0.75259,1.25742,0.8795,0.84328,0.90528,0.74332,0.65843,0.61723,1.1238,0.000105312,0.000105312,0.000105312
39,17108.6,0.75526,0.74482,1.25041,0.87688,0.85008,0.90597,0.74451,0.65696,0.61515,1.12306,7.4375e-05,7.4375e-05,7.4375e-05
40,17547.9,0.74744,0.73077,1.24223,0.88282,0.85272,0.90714,0.74677,0.65311,0.60988,1.11875,4.34375e-05,4.34375e-05,4.34375e-05
